code;name_en;name_ru;title_en;title_ru;friendlyUrl_en;friendlyUrl_ru;highlights_en;highlights_ru;position;visible;parent;
130;name_en;Косметология;title_en;Косметология;friendlyUrl_en;130;0;0;680;1;0;
139;name_en;Дезинфицирующие средства;title_en;Дезинфицирующие средства;friendlyUrl_en;139;0;0;700;1;0;
122;name_en;Хозтовары;title_en;Хозтовары;friendlyUrl_en;122;0;0;660;1;0;
121;name_en;Товары для салонов;title_en;Товары для салонов;friendlyUrl_en;121;0;0;650;1;0;
190;name_en;яяУдаленные;title_en;яяУдаленные;friendlyUrl_en;190;0;0;850;1;0;
85;name_en;Товары для детей;title_en;Товары для детей;friendlyUrl_en;85;0;0;460;1;0;
59;name_en;Аксессуары;title_en;Аксессуары;friendlyUrl_en;59;0;0;70;1;0;
141;name_en;Ногтевой сервис;title_en;Ногтевой сервис;friendlyUrl_en;141;0;0;720;1;0;
47;name_en;Средства гигиены;title_en;Средства гигиены;friendlyUrl_en;47;0;0;50;1;0;
26;name_en;Косметика;title_en;Косметика;friendlyUrl_en;26;0;0;40;1;0;
40;name_en;Парфюмерия;title_en;Парфюмерия;friendlyUrl_en;40;0;0;30;1;0;
1;name_en;Бытовая химия;title_en;Бытовая химия;friendlyUrl_en;1;0;0;20;1;0;
58;name_en;Уход за волосами;title_en;Уход за волосами;friendlyUrl_en;58;0;0;10;1;0;
17;name_en;Средства для стирки;title_en;Средства для стирки;friendlyUrl_en;17;0;0;80;1;1;
4;name_en;Средства для уборки дома;title_en;Средства для уборки дома;friendlyUrl_en;4;0;0;90;1;1;
7;name_en;Мыло туалетное, хозяйственное, жидкое;title_en;Мыло туалетное, хозяйственное, жидкое;friendlyUrl_en;7;0;0;100;1;1;
23;name_en;Средства для защиты от насекомых;title_en;Средства для защиты от насекомых;friendlyUrl_en;23;0;0;110;1;1;
6;name_en;Средства для кухни;title_en;Средства для кухни;friendlyUrl_en;6;0;0;120;1;1;
